name,address,city,state,stars,categories,Simplified Category,ZIP Code,Neighborhood,Population Density,Median Household Income,% White,% Black,% Hispanic,% Asian,% Other,Predicted Growth,Avg Real Estate Price
Roman Forum,10440 N Dale Mabry Hwy,Tampa,FL,4,"Restaurants, American (New), Italian",American & Fast Food,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,10.49,323283
The Cake Drip,1625 W Snow Cir,Tampa,FL,4,"Desserts, Do-It-Yourself Food, Food, Patisserie/Cake Shop",Dessert,33606,Hyde Park,3200.0,80000.0,60.0,20.0,15.0,5.0,0.0,30.42,370227
PDQ Temple Terrace,5112 E Fowler Ave,Tampa,FL,3,"Fast Food, Sandwiches, Chicken Shop, Restaurants",American & Fast Food,33617,Near Temple Terrace,3300.0,40000.0,35.0,45.0,15.0,5.0,0.0,24.16,468742
O'Briens Irish Pub,15435 N Dale Mabry Hwy,Tampa,FL,4,"Bars, Pubs, Nightlife, Arts & Entertainment, Irish, Restaurants, Music Venues",Bar & Wines,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,16.76,323283
Lee Roy Selmon's,14457 N Dale Mabry Hwy,Tampa,FL,3,"Salad, Restaurants, Burgers, Soul Food",American & Fast Food,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,4.37,323283
Four Green Fields,"4100 George J Bean Pkwy, Airside E, Tampa International Airport",Tampa,FL,4,"Irish Pub, Bars, Restaurants, Irish, Nightlife",Bar & Wines,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,5.93,312328
Cafe Con Leche,4100 George J Bean Pkwy,Tampa,FL,2,"Restaurants, Breakfast & Brunch, Coffee Roasteries, Coffee & Tea, Food",Coffee/Cafe,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,2.21,312328
Sake House,5106 E Fowler Ave,Tampa,FL,3,"Restaurants, Sushi Bars, Japanese",Bar & Wines,33617,Near Temple Terrace,3300.0,40000.0,35.0,45.0,15.0,5.0,0.0,28.58,468742
The Silo Eatery Coffee Bakery,"9036 Brittany Way, Bldg 18",Tampa,FL,4,"Coffee & Tea, Restaurants, Food, Cafes, Bakeries",Coffee/Cafe,33619,East Tampa,4100.0,37000.0,25.0,50.0,20.0,5.0,0.0,24.65,498759
El Sabor Boricua,11612 N Nebraska Ave,Tampa,FL,5,"Puerto Rican, Caribbean, Latin American, Restaurants",Latin,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
MOSI Food Truck Rally,4801 East Fowler Ave,Tampa,FL,3,"Festivals, Arts & Entertainment, Local Flavor, Restaurants, Food Stands",Other,33617,Near Temple Terrace,3300.0,40000.0,35.0,45.0,15.0,5.0,0.0,0.68,468742
The Corner Cafe and Deli,"100 S Ashley Dr, Ste 220",Tampa,FL,4,"Sandwiches, Cafes, Burgers, Food, Restaurants",Coffee/Cafe,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,33.95,458315
The Bricks,1327 E 7th Ave,Tampa,FL,4,"Bars, Breakfast & Brunch, Restaurants, American (New), Coffee & Tea, Food, Nightlife, Vegetarian",Coffee/Cafe,33605,Ybor City,2800.0,35000.0,40.0,25.0,30.0,5.0,0.0,23.31,220423
Big Mike's BBQ,6901 Sheldon Rd,Tampa,FL,4,"Restaurants, Barbeque",Bar & Wines,33615,Near Town 'n' Country,3400.0,52000.0,50.0,20.0,25.0,5.0,0.0,7.22,320788
Starbucks,8602 Hillsborough Ave,Tampa,FL,3,"Coffee & Tea, Food",Coffee/Cafe,33615,Near Town 'n' Country,3400.0,52000.0,50.0,20.0,25.0,5.0,0.0,6.18,320788
Auntie Anne's,8094 Citrus Park Town Center Mall,Tampa,FL,2,"Pretzels, Shopping Centers, Food, Shopping, Bakeries",Other,33625,Other,,Other,Other,Other,Other,Other,Other,,106613
Tin Drum Asia Cafe,"3867Tampa Rd, Ste 305",Tampa,FL,3,"Asian Fusion, Restaurants",Other,34677,Other,,Other,Other,Other,Other,Other,Other,,472177
KELP Sushi Joint,"3401 W Bay To Bay Blvd, Ste D",Tampa,FL,4,"Japanese, Sushi Bars, Food, Restaurants, Asian Fusion, Poke, Acai Bowls",Bar & Wines,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,16.27,297935
Hardee's,4116 W Hillsborough Ave,Tampa,FL,2,"Restaurants, Fast Food, Burgers",American & Fast Food,33614,Near Westshore,3700.0,46000.0,45.0,25.0,27.0,3.0,0.0,15.98,438346
Sonny's BBQ,8106 W Hillsborough Avenue,Tampa,FL,3,"Barbeque, Restaurants, Event Planning & Services, Caterers",Bar & Wines,33615,Near Town 'n' Country,3400.0,52000.0,50.0,20.0,25.0,5.0,0.0,9.9,320788
Gandolfo's New York Deli,12908 N Dale Mabry Hwy,Tampa,FL,2,"Delis, Restaurants",Other,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,17.13,323283
The Humming Bird Jerk house,"17631 Bruce B Downs Blvd, Unit F",Tampa,FL,3,"Restaurants, Caribbean",Latin,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,3.49,185666
Portofino's Italian Kitchen,6742 Memorial Hwy,Tampa,FL,4,"Restaurants, Pizza, Italian",Italian,33615,Near Town 'n' Country,3400.0,52000.0,50.0,20.0,25.0,5.0,0.0,9.93,320788
Dio Modern Mediteranean,519 N Franklin St,Tampa,FL,4,"Greek, Restaurants, Mediterranean",Other,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,12.82,458315
Terra Sur Cafe,"5330 Ehrlich Rd, Ste 103",Tampa,FL,4,"Latin American, Restaurants, Peruvian, Seafood",American & Fast Food,33624,Carrollwood,2700.0,63000.0,57.0,18.0,22.0,3.0,0.0,12.31,122068
Taco Bell,4647 West Kennedy Blvd,Tampa,FL,2,"Restaurants, Tex-Mex, Breakfast & Brunch, Mexican, Fast Food, Tacos",Latin,33609,Near Westshore,3600.0,58000.0,52.0,22.0,22.0,4.0,0.0,28.27,411201
Fuzzy's Taco Shop,"5621 E Fowler Ave, Units 201-207",Tampa,FL,3,"Sports Bars, Breakfast & Brunch, Mexican, Nightlife, Tex-Mex, Restaurants, Sandwiches, Bars",Latin,33617,Near Temple Terrace,3300.0,40000.0,35.0,45.0,15.0,5.0,0.0,6.59,468742
Orchid Thai Foods,17022 Palm Pointe Dr,Tampa,FL,4,"Asian Fusion, Restaurants, Thai",Asian,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,12.86,185666
Harvest Bowl Eatery & Market,6109 N Florida Ave,Tampa,FL,4,"Wraps, American (New), Vegan, Breakfast & Brunch, Restaurants",American & Fast Food,33604,Near Seminole Heights,3000.0,42000.0,48.0,32.0,18.0,2.0,0.0,17.77,381090
Island Fin Poké,"6417 E County Line Rd, Ste 101",Tampa,FL,5,"Gluten-Free, Poke, Food, Restaurants, Hawaiian",Other,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,1.16,185666
Dunkin',7004 N. Dale Mabry Hwy,Tampa,FL,2,"Food, Donuts, Coffee & Tea",Coffee/Cafe,33614,Near Westshore,3700.0,46000.0,45.0,25.0,27.0,3.0,0.0,22.48,438346
La Casa de Pan de Yuca,"4013 W Linebaugh Ave, Ste 101",Tampa,FL,4,"Bakeries, Food",Other,33624,Carrollwood,2700.0,63000.0,57.0,18.0,22.0,3.0,0.0,4.6,122068
Froyo Fresh,12211 W Linebaugh Ave,Tampa,FL,4,"Desserts, Event Planning & Services, Food, Caterers, Ice Cream & Frozen Yogurt",Dessert,33626,Westchase,2600.0,85000.0,60.0,15.0,18.0,7.0,0.0,1.69,251619
Sayroo's Bakery and Grocery,2028 S 50th St,Tampa,FL,4,"Food, Bakeries, Grocery, Specialty Food",Other,33619,East Tampa,4100.0,37000.0,25.0,50.0,20.0,5.0,0.0,38.9,498759
Sweeties By Mili,11961 Sheldon Rd,Tampa,FL,3,"Bakeries, Food",Other,33626,Westchase,2600.0,85000.0,60.0,15.0,18.0,7.0,0.0,25.11,251619
Julian Restaurant,2545 N Rocky Point Dr,Tampa,FL,4,"Cocktail Bars, Seafood, Bars, Nightlife, Restaurants, Tapas/Small Plates",Bar & Wines,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,30.72,312328
Amore Mio,6803 N Armenia Ave,Tampa,FL,4,"Restaurants, Pizza, Italian",Italian,33604,Near Seminole Heights,3000.0,42000.0,48.0,32.0,18.0,2.0,0.0,9.14,381090
YO! Sushi,"International Plz, 2223 N Westshore Blvd",Tampa,FL,4,"Sushi Bars, Fast Food, Japanese, Restaurants",Bar & Wines,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,3.71,312328
Paradise Pizza Cafe,"4810 E Busch Blvd, Ste L&M",Tampa,FL,2,"Restaurants, Mediterranean, Pizza, Burgers, Breakfast & Brunch, Turkish, Kebab",American & Fast Food,33617,Near Temple Terrace,3300.0,40000.0,35.0,45.0,15.0,5.0,0.0,22.58,468742
The Local Draught House,813 N Tampa St,Tampa,FL,3,"Nightlife, Bars, Irish Pub, Pubs",Bar & Wines,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,15.41,458315
EATS! American Grill,4502 S Dale Mabry Hwy,Tampa,FL,4,"American (New), Diners, American (Traditional), Restaurants",American & Fast Food,33611,South Tampa,3000.0,70000.0,55.0,15.0,25.0,5.0,0.0,3.66,185237
China Wok,10714 Countryway Blvd,Tampa,FL,3,"Chinese, Restaurants",Asian,33626,Westchase,2600.0,85000.0,60.0,15.0,18.0,7.0,0.0,12.87,251619
Villagio Cinemas,11778 N Dale Mabry Hwy,Tampa,FL,3,"Cinema, Nightlife, Pizza, Italian, Arts & Entertainment, Burgers, Restaurants, Lounges, Bars",Bar & Wines,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,0.96,323283
Twistee Treat - New Tampa,8810 New Tampa Blvd,Tampa,FL,3,"Juice Bars & Smoothies, Ice Cream & Frozen Yogurt, American (Traditional), Food, Desserts, Hot Dogs, Restaurants",Bar & Wines,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,22.73,185666
Zaxby's Chicken Fingers & Buffalo Wings,11619 W Hillsborough Ave,Tampa,FL,3,"Restaurants, Chicken Shop, Chicken Wings, Salad, Fast Food",American & Fast Food,33635,Near Town 'n' Country,2550.0,55000.0,49.0,21.0,25.0,5.0,0.0,6.6,367913
Gu Wei Noodles & Grill,"18101 Highwoods Preserve Pkwy, Ste 100",Tampa,FL,4,"Szechuan, Noodles, Restaurants, Chinese",Asian,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,16.56,185666
Subway,19410 N Bruce B Downs Blvd,Tampa,FL,3,"Food, Sandwiches, Restaurants, Fast Food",American & Fast Food,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,7.79,185666
Zeko's Mediterranean Grill,3609 E Busch Blvd,Tampa,FL,4,"Restaurants, Falafel, Fast Food, Mediterranean, Middle Eastern, Halal, Greek",American & Fast Food,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
Burger King,4403 W Gandy Blvd,Tampa,FL,2,"Burgers, Fast Food, Restaurants",American & Fast Food,33611,South Tampa,3000.0,70000.0,55.0,15.0,25.0,5.0,0.0,16.4,185237
Sulas,1605 E 7th Ave,Tampa,FL,4,"Restaurants, Cuban",Latin,33605,Ybor City,2800.0,35000.0,40.0,25.0,30.0,5.0,0.0,5.18,220423
Lan Zhou Lamen,2716 E Fowler Ave,Tampa,FL,4,"Chinese, Noodles, Seafood, Chicken Wings, Restaurants",Asian,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
Season's Fresh,2816 E Bearss Ave,Tampa,FL,4,"Modern European, American (New), Farmers Market, Cafes, Restaurants, American (Traditional), Breakfast & Brunch, Food",Coffee/Cafe,33613,University Area,4500.0,30000.0,30.0,40.0,25.0,5.0,0.0,34.88,255955
Thai 5 Fast Food,3424 S Dale Mabry Hwy,Tampa,FL,4,"Laotian, American (Traditional), Asian Fusion, Salad, Pan Asian, Sushi Bars, Food Trucks, Food, Noodles, Restaurants, Thai",Bar & Wines,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,29.12,297935
Cakes Plus,9612 W Linebaugh,Tampa,FL,4,"Desserts, Cupcakes, Ice Cream & Frozen Yogurt, Food, Bakeries",Dessert,33626,Westchase,2600.0,85000.0,60.0,15.0,18.0,7.0,0.0,23.27,251619
Stefano Greek Italian Restaurant,8600 N 56th St,Tampa,FL,4,"Food, Desserts, Breakfast & Brunch, Restaurants, American (Traditional), Greek, Italian",American & Fast Food,33617,Near Temple Terrace,3300.0,40000.0,35.0,45.0,15.0,5.0,0.0,19.73,468742
Capricho’s,"4810 E Busch Blvd, Ste F",Tampa,FL,5,"Breakfast & Brunch, Restaurants, Dominican, Caribbean, Food, Coffee & Tea",Coffee/Cafe,33617,Near Temple Terrace,3300.0,40000.0,35.0,45.0,15.0,5.0,0.0,30.42,468742
Ranch House Restaurant,7706 W Hillsborough Ave,Tampa,FL,3,"Restaurants, Food, Coffee & Tea, Breakfast & Brunch, American (Traditional), Diners",Coffee/Cafe,33615,Near Town 'n' Country,3400.0,52000.0,50.0,20.0,25.0,5.0,0.0,3.01,320788
Simply Done Donuts,2109 S Dale Mabry Hwy,Tampa,FL,5,"Caterers, Event Planning & Services, Coffee & Tea, Donuts, Food",Coffee/Cafe,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,6.08,297935
Toki Sushi,14313 N Dale Mabry Hwy,Tampa,FL,4,"Restaurants, Japanese, Sushi Bars",Bar & Wines,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,1.27,323283
Craft & Curd,"2908 W Gandy Blvd, Ste B",Tampa,FL,4,"Arts & Entertainment, Cheese Shops, Specialty Food, Beer, Wine & Spirits, Food, Bars, Wine Tasting Room, Nightlife, Wineries, Wine Bars",Bar & Wines,33611,South Tampa,3000.0,70000.0,55.0,15.0,25.0,5.0,0.0,9.76,185237
Yah Mon,"301 W Platt St, Unit C",Tampa,FL,4,"Restaurants, Caribbean",Latin,33606,Hyde Park,3200.0,80000.0,60.0,20.0,15.0,5.0,0.0,12.44,370227
Hiccups & Churroholic,13030 N Dale Mabry Hwy,Tampa,FL,4,"Juice Bars & Smoothies, Restaurants, Chicken Wings, Food, Asian Fusion, Ice Cream & Frozen Yogurt, Desserts",Bar & Wines,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,7.6,323283
Tokyo,7911 W Hillsborough Ave,Tampa,FL,3,"Chinese, Sushi Bars, Japanese, Restaurants",Bar & Wines,33615,Near Town 'n' Country,3400.0,52000.0,50.0,20.0,25.0,5.0,0.0,28.18,320788
Buddy Brew - Hyde Park,1605 W Snow Ave,Tampa,FL,4,"Coffee Roasteries, Food, Coffee & Tea",Coffee/Cafe,33606,Hyde Park,3200.0,80000.0,60.0,20.0,15.0,5.0,0.0,11.42,370227
Chic Venue,1339 E Fletcher Ave,Tampa,FL,4,"Cocktail Bars, Bars, Music Venues, Event Planning & Services, Nightlife, Arts & Entertainment, Venues & Event Spaces",Bar & Wines,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
Submarine Gyro Town,4008 Orient Rd,Tampa,FL,3,"Greek, Restaurants, Breakfast & Brunch",Other,33610,Other,,Other,Other,Other,Other,Other,Other,,161340
Irie Bay Cafe,10041 E Adamo Dr,Tampa,FL,3,"Caribbean, Restaurants",Latin,33619,East Tampa,4100.0,37000.0,25.0,50.0,20.0,5.0,0.0,5.78,498759
The Enerjuicer,3309 W Kennedy Blvd,Tampa,FL,3,"Juice Bars & Smoothies, Active Life, Fitness & Instruction, Burgers, Acai Bowls, Food, Vegan, Salad, Specialty Food, Restaurants, Yoga, Health Markets",Bar & Wines,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,24.87,297935
Kuchi Sushi & Hibachi,9206 Anderson Rd,Tampa,FL,4,"Restaurants, Japanese, Asian Fusion, Sushi Bars, Teppanyaki",Bar & Wines,33634,Near Town 'n' Country,3500.0,50000.0,49.0,21.0,25.0,5.0,0.0,2.61,179199
El Manjar,7218 N Armenia Ave,Tampa,FL,4,"Restaurants, Latin American",American & Fast Food,33614,Near Westshore,3700.0,46000.0,45.0,25.0,27.0,3.0,0.0,36.51,438346
Popeyes Louisiana Kitchen,2216 Fletcher Ave,Tampa,FL,2,"American (Traditional), Restaurants, Fast Food, Cajun/Creole, Chicken Wings",American & Fast Food,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
American Social,"601 S Harbour Island Blvd, Ste 107",Tampa,FL,3,"American (Traditional), Restaurants, Venues & Event Spaces, Event Planning & Services, Breakfast & Brunch, Bars, Nightlife",Bar & Wines,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,6.96,458315
Roberts Meats And Catering,3435 S West Shore Blvd,TAMPA,FL,3,"Restaurants, Meat Shops, Barbeque, Seafood, Sandwiches, Butcher, Specialty Food, Delis, Food, Burgers",Bar & Wines,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,0.17,297935
XT Munchies,5705 N Nebraska Ave,Tampa,FL,4,"Fruits & Veggies, Restaurants, Mexican, Specialty Food, Food, Juice Bars & Smoothies",Latin,33604,Near Seminole Heights,3000.0,42000.0,48.0,32.0,18.0,2.0,0.0,24.46,381090
Hungry Howie's Pizza & Subs,2001 E Hillsborough Ave,Tampa,FL,2,"Chicken Wings, Sandwiches, Italian, Restaurants, Pizza",Italian,33610,Other,,Other,Other,Other,Other,Other,Other,,161340
Franci's Cafe,"4901 W Linebaugh Ave, Ste 7",Tampa,FL,4,"Food, Restaurants, Cuban, Cafes",Coffee/Cafe,33624,Carrollwood,2700.0,63000.0,57.0,18.0,22.0,3.0,0.0,19.68,122068
Sucre Table,4048 W Kennedy Blvd,Tampa,FL,4,"Bakeries, Custom Cakes, Food, Restaurants",Other,33609,Near Westshore,3600.0,58000.0,52.0,22.0,22.0,4.0,0.0,27.77,411201
Le Mouton Noir Bakehouse,1112 Channelside Dr,Tampa,FL,3,"Food, Restaurants, Cafes, Bakeries",Coffee/Cafe,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,2.59,458315
Chili's,2794 E Fowler Ave,Tampa,FL,2,"Chicken Wings, Bars, Restaurants, Nightlife, American (Traditional), Tex-Mex",Bar & Wines,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
Wendy's,8305 Sheldon Road,Tampa,FL,2,"Restaurants, Burgers, Breakfast & Brunch, Fast Food",American & Fast Food,33615,Near Town 'n' Country,3400.0,52000.0,50.0,20.0,25.0,5.0,0.0,3.94,320788
Marty's Cafe,"9720 Princess Palm Ave, Ste 114",Tampa,FL,3,"Greek, American (Traditional), Restaurants, Pizza",American & Fast Food,33619,East Tampa,4100.0,37000.0,25.0,50.0,20.0,5.0,0.0,35.39,498759
The Brunchery,17507 Preserve Walk Ln,Tampa,FL,4,"Restaurants, American (Traditional), Breakfast & Brunch",American & Fast Food,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,15.58,185666
Romanos Pizza Express,5602 N Armenia Ave,Tampa,FL,3,"Chicken Wings, Cheesesteaks, Pizza, Restaurants",Other,33603,Seminole Heights,3100.0,45000.0,50.0,30.0,15.0,5.0,0.0,10.26,204222
Sultan Market,3613 E Busch Blvd,Tampa,FL,5,"Middle Eastern, Food, Grocery, Halal, International Grocery, Meat Shops, Arabic, Restaurants, Specialty Food",Other,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
Gourmet Pizza Company,"610 S Armenia Ave, Ste 101",Tampa,FL,4,"Pizza, Restaurants, Gluten-Free, Vegan",Other,33609,Near Westshore,3600.0,58000.0,52.0,22.0,22.0,4.0,0.0,11.2,411201
Mole y Abuela,1202 N Franklin St,Tampa,FL,4,"Restaurants, Bars, Spanish, Tapas/Small Plates, Nightlife, Cocktail Bars, Mediterranean, Tapas Bars",Bar & Wines,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,11.38,458315
Sami's Bakery,2399 E Busch Blvd,Tampa,FL,4,"Bakeries, Cupcakes, Food",Dessert,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
The Great American Bagel,Tampa International Airport,Tampa,FL,3,"Food, Bagels",Other,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,24.23,312328
German Bistro,5232 S MacDill Ave,Tampa,FL,4,"Restaurants, German",Other,33611,South Tampa,3000.0,70000.0,55.0,15.0,25.0,5.0,0.0,26.62,185237
Los Comparres,5305 N Armenia Ave,Tampa,FL,4,"Street Vendors, Restaurants, Mexican, Food Trucks, Food, Seafood",Latin,33603,Seminole Heights,3100.0,45000.0,50.0,30.0,15.0,5.0,0.0,14.64,204222
Rickenbacker's,7637 Bayshore Blvd,Tampa,FL,4,"Beer Bar, Sandwiches, Nightlife, Bars, Cafes, Restaurants",Coffee/Cafe,33621,Other,,Other,Other,Other,Other,Other,Other,,333931
Twistee Treat - Sheldon,5531 Sheldon Rd,Tampa,FL,4,"Food, Restaurants, Juice Bars & Smoothies, Desserts, Ice Cream & Frozen Yogurt, Hot Dogs",Bar & Wines,33615,Near Town 'n' Country,3400.0,52000.0,50.0,20.0,25.0,5.0,0.0,24.25,320788
Blend Lounge,9526 W Linebaugh Ave,Tampa,FL,4,"Lounges, Bars, Nightlife",Bar & Wines,33626,Westchase,2600.0,85000.0,60.0,15.0,18.0,7.0,0.0,19.78,251619
Timpano Hyde Park,1610 W Swann Ave,Tampa,FL,3,"Music Venues, Bars, Restaurants, Italian, Steakhouses, Nightlife, Arts & Entertainment, Cocktail Bars",Bar & Wines,33606,Hyde Park,3200.0,80000.0,60.0,20.0,15.0,5.0,0.0,17.96,370227
Pupuseria & Cafeteria Centroamericana,2504 W Martin Luther King Blvd,Tampa,FL,4,"Latin American, Restaurants, Salvadoran",American & Fast Food,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,29.3,312328
Earl of Sandwich,"2223 Fc-206 International Mall Food Court N Westshore Blvd, International Mall Food Court",Tampa,FL,3,"Event Planning & Services, Restaurants, Food, Wraps, Caterers, Salad, Sandwiches, Food Delivery Services",Other,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,18.76,312328
Centro Cantina,1600 E 8th Ave,Tampa,FL,3,"Music Venues, Bars, Arts & Entertainment, Tex-Mex, Restaurants, Karaoke, Nightlife",Bar & Wines,33605,Ybor City,2800.0,35000.0,40.0,25.0,30.0,5.0,0.0,14.64,220423
Checkers,107 W Waters Ave,Tampa,FL,1,"Fast Food, Restaurants, Burgers",American & Fast Food,33604,Near Seminole Heights,3000.0,42000.0,48.0,32.0,18.0,2.0,0.0,12.83,381090
Ava,718 S Howard Ave,Tampa,FL,3,"Wine Bars, Desserts, Bars, American (New), Nightlife, Restaurants, Italian, Food, Salad, Breakfast & Brunch, Pizza",Bar & Wines,33606,Hyde Park,3200.0,80000.0,60.0,20.0,15.0,5.0,0.0,0.81,370227
Bayscape at Heritage Isles,10630 Plantation Bay Dr,Tampa,FL,4,"Venues & Event Spaces, Event Planning & Services, Country Clubs, Arts & Entertainment, Caterers, Bars, Comfort Food, Breakfast & Brunch, Tapas/Small Plates, Restaurants, Sandwiches, Nightlife",Bar & Wines,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,2.7,185666
Double Decker,1721 E 7th Ave,Tampa,FL,3,"Bars, Pool Halls, Nightlife",Bar & Wines,33605,Ybor City,2800.0,35000.0,40.0,25.0,30.0,5.0,0.0,0.88,220423
Mise En Place Bistro,401 Channelside Dr,Tampa,FL,3,"Pizza, Nightlife, Wine Bars, Food, Bars, Comfort Food, Desserts, American (New), Restaurants",Bar & Wines,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,22.27,458315
Plato Latino,202 E Bearss Ave,Tampa,FL,4,"Restaurants, Latin American",American & Fast Food,33613,University Area,4500.0,30000.0,30.0,40.0,25.0,5.0,0.0,14.15,255955
The Gasparilla Bar,4235 Bessie Coleman Blvd,Tampa,FL,3,"Bars, Nightlife",Bar & Wines,33607,Westshore,3800.0,60000.0,50.0,20.0,25.0,5.0,0.0,19.33,312328
Honey's,11115 N Dale Mabry Hwy,Tampa,FL,3,"American (Traditional), Restaurants",American & Fast Food,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,25.41,323283
Luigi's Italian Restaurant,"3224 W Gandy Blvd, Ste 3",Tampa,FL,3,"Italian, Hair Salons, Pizza, Restaurants, Beauty & Spas",Italian,33611,South Tampa,3000.0,70000.0,55.0,15.0,25.0,5.0,0.0,7.48,185237
Hot Willy's,1604 N 17th St,Tampa,FL,4,"American (Traditional), Hot Dogs, Restaurants",American & Fast Food,33605,Ybor City,2800.0,35000.0,40.0,25.0,30.0,5.0,0.0,11.49,220423
Chopstix,1441 E Fletcher Ave,Tampa,FL,3,"Restaurants, Chinese, Seafood",Asian,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
Naviera Coffee Mills,2012 E 7th Ave,Tampa,FL,4,"Restaurants, Food, Coffee & Tea",Coffee/Cafe,33605,Ybor City,2800.0,35000.0,40.0,25.0,30.0,5.0,0.0,6.41,220423
La Giraldilla,"1003 W Hillsborough Ave, Ste 4",Tampa,FL,3,"Restaurants, Bars, Nightlife, Cuban",Latin,33603,Seminole Heights,3100.0,45000.0,50.0,30.0,15.0,5.0,0.0,2.39,204222
Xtreme Tacos,310 East Waters Ave,Tampa,FL,4,"Mexican, Tacos, Food, Restaurants, Food Trucks, Tex-Mex",Latin,33604,Near Seminole Heights,3000.0,42000.0,48.0,32.0,18.0,2.0,0.0,8.69,381090
Tampa Pizza Co - Westchase,9556 W Linebaugh Ave,Tampa,FL,4,"Sandwiches, Bars, Italian, Nightlife, Beer Bar, Pizza, Restaurants",Bar & Wines,33626,Westchase,2600.0,85000.0,60.0,15.0,18.0,7.0,0.0,4.19,251619
Kaisen Sushi,14841 N Dale Mabry Hwy,Tampa,FL,4,"Restaurants, Sushi Bars, Japanese",Bar & Wines,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,26.03,323283
Mamas Kitchen,5524 S Dale Mabry Hwy,Tampa,FL,4,"Sandwiches, Restaurants, American (New), American (Traditional), Breakfast & Brunch",American & Fast Food,33611,South Tampa,3000.0,70000.0,55.0,15.0,25.0,5.0,0.0,24.24,185237
Embassy Suites by Hilton Tampa Downtown Convention Center,513 S Florida Ave,Tampa,FL,2,"Cafes, Hotels & Travel, Hotels, Restaurants, Event Planning & Services",Coffee/Cafe,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,22.17,458315
Frontier Steakhouse,8602 E Sligh Ave,Tampa,FL,3,"Burgers, Steakhouses, Restaurants, American (Traditional)",American & Fast Food,33610,Other,,Other,Other,Other,Other,Other,Other,,161340
Let Them Eat Cake,"3805 S West Shore Blvd, Ste B",Tampa,FL,3,"Food, Bakeries, Restaurants",Other,33611,South Tampa,3000.0,70000.0,55.0,15.0,25.0,5.0,0.0,24.11,185237
Above The Salt Cafe,428 W Waters Ave,Tampa,FL,5,"Cafes, Cuban, Restaurants, Nightlife, Bars",Coffee/Cafe,33604,Near Seminole Heights,3000.0,42000.0,48.0,32.0,18.0,2.0,0.0,5.6,381090
