name,address,city,state,stars,categories,Simplified Category,ZIP Code,Neighborhood,Population Density,Median Household Income,% White,% Black,% Hispanic,% Asian,% Other,Predicted Growth,Avg Real Estate Price
China Gate Restaurant,12049 Anderson Rd,Tampa,FL,3,"Restaurants, Chinese",Asian,33624,Carrollwood,2700.0,63000.0,57.0,18.0,22.0,3.0,0.0,15.69,122068
La Taqueria El Nopal,8305 NDale Mabry Hwy,Tampa,FL,4,"Tacos, Food, Restaurants, Mexican, Food Stands, Food Trucks",Latin,33614,Near Westshore,3700.0,46000.0,45.0,25.0,27.0,3.0,0.0,5.71,438346
Boston Grill,11701 N Florida Ave,Tampa,FL,4,"Italian, Restaurants, American (Traditional)",American & Fast Food,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
Jersey Mike's Subs,"1155 S Dale Mabry Hwy, Ste 5",Tampa,FL,4,"Restaurants, Delis, Sandwiches, Fast Food, Food",American & Fast Food,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,16.51,297935
Panera Bread,18011 Highwoods Preserve Pkwy,Tampa,FL,3,"Breakfast & Brunch, Soup, Bagels, Sandwiches, Food, Salad, Restaurants",Other,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,1.3,185666
Forbici Modern Italian,1633 W Snow Ave,Tampa,FL,4,"Bars, Pizza, Restaurants, Italian, Nightlife",Bar & Wines,33606,Hyde Park,3200.0,80000.0,60.0,20.0,15.0,5.0,0.0,10.77,370227
Westchase BBQ,11266 Hillsborough Ave,Tampa,FL,2,"Restaurants, Barbeque",Bar & Wines,33615,Near Town 'n' Country,3400.0,52000.0,50.0,20.0,25.0,5.0,0.0,4.57,320788
Smoothie King,15788 N Dale Mabry Hwy,Tampa,FL,4,"Specialty Food, Health Markets, Juice Bars & Smoothies, Food",Bar & Wines,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,1.77,323283
Flambé,"615 Channel Side Dr, Ste 123",Tampa,FL,3,"Restaurants, American (New), Seafood, Mediterranean",American & Fast Food,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,34.65,458315
BJ's Alabama BBQ,3423 S Dale Mabry Hwy,Tampa,FL,4,"Barbeque, Restaurants",Bar & Wines,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,9.99,297935
McDonald's,6505 S Dale Mabry Dr,Tampa,FL,1,"Fast Food, Coffee & Tea, Burgers, Restaurants, Food",Coffee/Cafe,33611,South Tampa,3000.0,70000.0,55.0,15.0,25.0,5.0,0.0,24.3,185237
PDQ Carrollwood,12650 N Dale Mabry Hwy,Tampa,FL,3,"Sandwiches, Chicken Shop, Fast Food, Cafes, Restaurants, Salad",Coffee/Cafe,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,7.13,323283
"""Genuino"" Italian Cafe'",14351 N Dale Mabry Hwy,Tampa,FL,4,"Pizza, Breakfast & Brunch, Restaurants, Food, Cafeteria, Gelato",Coffee/Cafe,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,19.08,323283
Chicken Salad Chick,4050 W Kennedy,Tampa,FL,4,"Sandwiches, Southern, Salad, Restaurants, Chicken Shop",Other,33609,Near Westshore,3600.0,58000.0,52.0,22.0,22.0,4.0,0.0,27.37,411201
Los Jarrones,7507 N Armenia Ave,Tampa,FL,3,"Seafood, Food, Restaurants, Latin American, Chicken Wings",American & Fast Food,33604,Near Seminole Heights,3000.0,42000.0,48.0,32.0,18.0,2.0,0.0,17.87,381090
Pacific Coast Latin Seafood & Cantina,6708 Memorial Hwy,Tampa,FL,3,"Restaurants, Seafood, Latin American",American & Fast Food,33615,Near Town 'n' Country,3400.0,52000.0,50.0,20.0,25.0,5.0,0.0,16.03,320788
Pinchers,14391 N Dale Mabry Hwy,Tampa,FL,3,"Seafood, Food, Desserts, Pasta Shops, Restaurants, Specialty Food",Dessert,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,11.53,323283
Coyote Ugly,1722 E 7th Ave,Tampa,FL,3,"Dive Bars, Nightlife, Bars",Bar & Wines,33605,Ybor City,2800.0,35000.0,40.0,25.0,30.0,5.0,0.0,9.77,220423
Westchase Sunday Morning Market,9622 W Linebaugh Ave,Tampa,FL,4,"Farmers Market, Shopping, Food",Other,33626,Westchase,2600.0,85000.0,60.0,15.0,18.0,7.0,0.0,24.17,251619
Chez Faby,500 N Tampa St,Tampa,FL,4,"Coffee & Tea, Restaurants, Creperies, Food, French",Coffee/Cafe,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,29.07,458315
The Floridian,4424 W Kennedy Blvd,Tampa,FL,3,"Fast Food, Cuban, Restaurants, Sandwiches",Latin,33609,Near Westshore,3600.0,58000.0,52.0,22.0,22.0,4.0,0.0,34.74,411201
Odessa Organic Market,8701 Gunn Hwy,Tampa,FL,4,"Food, Farmers Market",Other,33625,Other,,Other,Other,Other,Other,Other,Other,,106613
Caribbean Connections,10509 N Nebraska Ave,Tampa,FL,4,"Restaurants, Caribbean",Latin,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
Fitlife Foods - South Tampa,1902-B S Dale Mabry Hwy,Tampa,FL,4,"Food, Cafes, Health & Medical, Nutritionists, Restaurants, Specialty Food, Health Markets",Coffee/Cafe,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,29.09,297935
Good Food African American Restaurant,12227 N Florida Ave,Tampa,FL,4,"Senegalese, Mediterranean, Restaurants, African, Greek, Fast Food",American & Fast Food,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
McDonald's,10410 N Dale Mabry,Tampa,FL,2,"Fast Food, Burgers, Coffee & Tea, Food, Restaurants",Coffee/Cafe,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,1.86,323283
Taaza Mart,6260 Commerce Palms Dr,Tampa,FL,3,"Grocery, International Grocery, Food, Restaurants, Indian",Other,33647,New Tampa,2500.0,75000.0,45.0,20.0,20.0,15.0,0.0,18.53,185666
Panini's of Westchase,12227 Linebaugh Ave,Tampa,FL,2,"Restaurants, American (Traditional), Bars, American (New), Beer Gardens, Nightlife, Sandwiches, Sports Bars",Bar & Wines,33626,Westchase,2600.0,85000.0,60.0,15.0,18.0,7.0,0.0,14.94,251619
Lowry Parcade & Tavern,1213 W Waters Ave,Tampa,FL,4,"Nightlife, Arts & Entertainment, Bars, Beer Bar, Music Venues, Arcades, Restaurants, Wine Bars, Hot Dogs",Bar & Wines,33604,Near Seminole Heights,3000.0,42000.0,48.0,32.0,18.0,2.0,0.0,25.25,381090
Soul Of Korea,7612 N 56th St,Tampa,FL,4,"Korean, Chinese, Restaurants",Asian,33617,Near Temple Terrace,3300.0,40000.0,35.0,45.0,15.0,5.0,0.0,4.61,468742
Hong Kong Chinese,1743 E Hillsborough Ave,Tampa,FL,3,"Chinese, Restaurants",Asian,33610,Other,,Other,Other,Other,Other,Other,Other,,161340
Flying Pan,2702 W Kennedy Blvd,Tampa,FL,3,"Restaurants, Cafes, Breakfast & Brunch, Creperies",Coffee/Cafe,33609,Near Westshore,3600.0,58000.0,52.0,22.0,22.0,4.0,0.0,7.26,411201
Saki Endless Sushi and Hibachi Eatery,11921 N Dale Mabry Hwy,Tampa,FL,3,"Sushi Bars, Restaurants, Asian Fusion, Japanese",Bar & Wines,33618,Carrollwood,2800.0,65000.0,55.0,20.0,20.0,5.0,0.0,4.58,323283
Uncle Fats 2 Tampa,124 W Fletcher Ave,Tampa,FL,3,"American (Traditional), Bars, Dive Bars, Restaurants, Food, Nightlife, Chicken Wings, Sports Bars, Beer, Wine & Spirits, Pubs",Bar & Wines,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
Five Guys,8606 Elm Fair Blvd,Tampa,FL,3,"Restaurants, American (New), Fast Food, Burgers, Food",American & Fast Food,33610,Other,,Other,Other,Other,Other,Other,Other,,161340
Cooks Downtown,"201 E Kennedy Blvd, Fl 2",Tampa,FL,4,"Cafes, Salad, Restaurants, Delis, Soup, Sandwiches",Coffee/Cafe,33602,Downtown Tampa,3500.0,50000.0,50.0,30.0,15.0,5.0,0.0,23.28,458315
SOHO Juice Company,3120 W Bay To Bay Blvd,Tampa,FL,4,"Acai Bowls, Juice Bars & Smoothies, Food, Vegan, Restaurants",Bar & Wines,33629,Palma Ceia,3100.0,90000.0,65.0,10.0,20.0,5.0,0.0,16.22,297935
Hoagie Heaven,10203 E US Hwy 92,Tampa,FL,4,"Pizza, Italian, Diners, Restaurants",American & Fast Food,33610,Other,,Other,Other,Other,Other,Other,Other,,161340
Subway,1819 E Fowler Ave,Tampa,FL,2,"Fast Food, Sandwiches, Restaurants, Delis",American & Fast Food,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
Cali Burger,8302 W Hillsborough Ave,Tampa,FL,2,"Colombian, Latin American, Restaurants, Food Trucks, Food, Fast Food",American & Fast Food,33634,Near Town 'n' Country,3500.0,50000.0,49.0,21.0,25.0,5.0,0.0,13.74,179199
Frutas Frescas,"4350 W Waters Ave, Ste 102",Tampa,FL,3,"Latin American, Event Planning & Services, Grocery, Restaurants, Ice Cream & Frozen Yogurt, Desserts, Caterers, Food, Juice Bars & Smoothies, Burgers",Bar & Wines,33614,Near Westshore,3700.0,46000.0,45.0,25.0,27.0,3.0,0.0,30.21,438346
The Original Brooklyn Water Bagel Co.,111 S Dale Maybry Hwy,Tampa,FL,3,"Sandwiches, Coffee & Tea, Food, Bagels, Restaurants",Coffee/Cafe,33609,Near Westshore,3600.0,58000.0,52.0,22.0,22.0,4.0,0.0,15.81,411201
Franco's Pizza Ristorante,"1515 E Fletcher Ave, Ste B&C",Tampa,FL,2,"Wigs, Restaurants, Pizza, Shopping, Italian",Italian,33612,Other,,Other,Other,Other,Other,Other,Other,,283309
Drink Local Booze,5805 N Florida Ave,Tampa,FL,4,"Food, Distilleries",Other,33604,Near Seminole Heights,3000.0,42000.0,48.0,32.0,18.0,2.0,0.0,13.88,381090
Ybor Beverage Company,1925 E 6th Ave,Tampa,FL,5,"Food, Coffee & Tea, Breakfast & Brunch, Bars, Restaurants, Nightlife, Wine Bars, Beer, Wine & Spirits",Coffee/Cafe,33605,Ybor City,2800.0,35000.0,40.0,25.0,30.0,5.0,0.0,8.44,220423
